scene,case,strat,exp_t_mean,exp_t_std,hot_t_mean,heavy_tier_mean,energy_mean,cog_mean,fail_mean,viol_sum,n_runs
main,uniform,random,19.329,0.533,20.654,6.442,44689.8,8.785,0,0,5
main,uniform,seq,19.216,0.269,19.792,5.408,43875.2,8.629,0,0,5
main,uniform,near,9.449,0.252,9.729,4.1,20217.4,3.973,0,0,5
main,uniform,score,9.075,0.218,9.167,4.033,20127.0,3.957,0,0,5
main,uniform,awra,7.22,0.128,4.3,0.7,15290.9,3.001,0,0,5
main,skew,random,20.526,1.191,20.654,6.442,44689.8,8.785,0,0,5
main,skew,seq,20.251,1.249,19.792,5.408,43875.2,8.629,0,0,5
main,skew,near,9.467,0.712,9.729,4.1,20217.4,3.973,0,0,5
main,skew,score,8.845,0.894,8.654,4.008,19997.1,3.931,0,0,5
main,skew,awra,6.443,0.356,5.608,0.567,14492.2,2.843,0,0,5
main,heavy,random,18.367,1.99,17.95,6.892,54219.2,8.65,0,0,5
main,heavy,seq,20.786,1.419,19.975,5.358,55464.3,8.843,0,0,5
main,heavy,near,9.467,0.712,9.729,4.067,24952.6,3.978,0,0,5
main,heavy,score,8.772,0.989,8.875,4.033,24932.5,3.975,0,0,5
main,heavy,awra,6.064,0.386,5.362,0.617,20539.9,3.271,0,0,5
tight,skew,random,18.704,1.465,19.233,7.189,59849.1,9.124,0,0,3
tight,skew,seq,21.158,1.782,20.594,5.456,57290.8,8.743,0,0,3
tight,skew,near,18.718,1.468,18.588,7.356,49923.4,8.11,5.33,0,3
tight,skew,score,18.464,1.645,18.198,7.253,49384.5,7.992,5,0,3
tight,skew,awra,12.441,0.963,11.922,2.178,42130.9,6.421,0,0,3
